"data";"valor"
"04/06/1986";"0,065041"
"05/06/1986";"0,067397"
"06/06/1986";"0,066740"
"09/06/1986";"0,068247"
"10/06/1986";"0,067041"
"11/06/1986";"0,066740"
"12/06/1986";"0,066575"
"13/06/1986";"0,066164"
"16/06/1986";"0,066493"
"17/06/1986";"0,066247"
"18/06/1986";"0,066301"
"19/06/1986";"0,066164"
"20/06/1986";"0,066055"
"23/06/1986";"0,066110"
"24/06/1986";"0,066027"
"25/06/1986";"0,066493"
"26/06/1986";"0,066411"
"27/06/1986";"0,066301"
"30/06/1986";"0,066603"
"01/07/1986";"0,066630"
"02/07/1986";"0,068301"
"03/07/1986";"0,073973"
"04/07/1986";"0,083178"
"07/07/1986";"0,083315"
"08/07/1986";"0,083151"
"09/07/1986";"0,084411"
"10/07/1986";"0,085096"
"11/07/1986";"0,085151"
"14/07/1986";"0,085178"
"15/07/1986";"0,084767"
"16/07/1986";"0,084849"
"17/07/1986";"0,084849"
"18/07/1986";"0,085014"
"21/07/1986";"0,085041"
"22/07/1986";"0,085260"
"23/07/1986";"0,087890"
"24/07/1986";"0,088164"
"25/07/1986";"0,088438"
"28/07/1986";"0,088849"
"29/07/1986";"0,088849"
"30/07/1986";"0,088795"
"31/07/1986";"0,088849"
"01/08/1986";"0,088986"
"04/08/1986";"0,089315"
"05/08/1986";"0,089671"
"06/08/1986";"0,090219"
"07/08/1986";"0,093644"
"08/08/1986";"0,110356"
"11/08/1986";"0,127644"
"12/08/1986";"0,126575"
"13/08/1986";"0,129315"
"14/08/1986";"0,129589"
"15/08/1986";"0,132082"
"18/08/1986";"0,132932"
"19/08/1986";"0,132521"
"20/08/1986";"0,132301"
"21/08/1986";"0,132904"
"22/08/1986";"0,133123"
"25/08/1986";"0,133041"
"26/08/1986";"0,133014"
"27/08/1986";"0,133068"
"28/08/1986";"0,132986"
"29/08/1986";"0,133260"
"01/09/1986";"0,130959"
"02/09/1986";"0,131178"
"03/09/1986";"0,131562"
"04/09/1986";"0,131260"
"05/09/1986";"0,131342"
"08/09/1986";"0,131151"
"09/09/1986";"0,131425"
"10/09/1986";"0,131315"
"11/09/1986";"0,131315"
"12/09/1986";"0,131315"
"15/09/1986";"0,131315"
"16/09/1986";"0,131315"
"17/09/1986";"0,131973"
"18/09/1986";"0,132110"
"19/09/1986";"0,132356"
"22/09/1986";"0,132575"
"23/09/1986";"0,132904"
"24/09/1986";"0,132548"
"25/09/1986";"0,132767"
"26/09/1986";"0,132685"
"29/09/1986";"0,132904"
"30/09/1986";"0,132986"
"01/10/1986";"0,066685"
"02/10/1986";"0,071945"
"03/10/1986";"0,076767"
"06/10/1986";"0,083370"
"07/10/1986";"0,083836"
"08/10/1986";"0,084411"
"09/10/1986";"0,086055"
"10/10/1986";"0,086356"
"13/10/1986";"0,086110"
"14/10/1986";"0,086110"
"15/10/1986";"0,086301"
"16/10/1986";"0,086493"
"17/10/1986";"0,086192"
"20/10/1986";"0,086411"
"21/10/1986";"0,086356"
"22/10/1986";"0,086356"
"23/10/1986";"0,086301"
"24/10/1986";"0,086301"
"27/10/1986";"0,086356"
"28/10/1986";"0,086438"
"29/10/1986";"0,086384"
"30/10/1986";"0,086493"
"31/10/1986";"0,090055"
"03/11/1986";"0,112685"
"04/11/1986";"0,115041"
"05/11/1986";"0,115123"
"06/11/1986";"0,115041"
"07/11/1986";"0,114575"
"10/11/1986";"0,113452"
"11/11/1986";"0,110822"
"12/11/1986";"0,111205"
"13/11/1986";"0,111342"
"14/11/1986";"0,111781"
"17/11/1986";"0,112219"
"18/11/1986";"0,112164"
"19/11/1986";"0,112192"
"20/11/1986";"0,111233"
"21/11/1986";"0,112192"
"24/11/1986";"0,115041"
"25/11/1986";"0,123397"
"26/11/1986";"0,134986"
"27/11/1986";"0,138000"
"28/11/1986";"0,140438"
"01/12/1986";"0,199096"
"02/12/1986";"0,234822"
"03/12/1986";"0,225699"
"04/12/1986";"0,219370"
"05/12/1986";"0,220575"
"08/12/1986";"0,228575"
"09/12/1986";"0,243342"
"10/12/1986";"0,246658"
"11/12/1986";"0,238274"
"12/12/1986";"0,238274"
"15/12/1986";"0,238411"
"16/12/1986";"0,236110"
"17/12/1986";"0,239288"
"18/12/1986";"0,240904"
"19/12/1986";"0,240548"
"22/12/1986";"0,243507"
"23/12/1986";"0,245671"
"24/12/1986";"0,245671"
"26/12/1986";"0,245671"
"29/12/1986";"0,247836"
"30/12/1986";"0,305260"
"31/12/1986";"0,305260"
"02/01/1987";"0,305260"
"05/01/1987";"0,416301"
"06/01/1987";"0,407068"
"07/01/1987";"0,405836"
"08/01/1987";"0,409370"
"09/01/1987";"0,499288"
"12/01/1987";"0,497425"
"13/01/1987";"0,498904"
"14/01/1987";"0,500356"
"15/01/1987";"0,516658"
"16/01/1987";"0,515315"
"19/01/1987";"0,515315"
"20/01/1987";"0,515836"
"21/01/1987";"0,515973"
"22/01/1987";"0,515260"
"23/01/1987";"0,572795"
"26/01/1987";"0,572630"
"27/01/1987";"0,571616"
"28/01/1987";"0,571945"
"29/01/1987";"0,571534"
"30/01/1987";"0,572192"
"02/02/1987";"0,767178"
"03/02/1987";"0,767041"
"04/02/1987";"0,767096"
"05/02/1987";"0,766877"
"06/02/1987";"0,772986"
"09/02/1987";"0,910658"
"10/02/1987";"1,000658"
"11/02/1987";"1,017425"
"12/02/1987";"1,017863"
"13/02/1987";"1,018164"
"16/02/1987";"1,016575"
"17/02/1987";"1,018740"
"18/02/1987";"1,018986"
"19/02/1987";"1,018877"
"20/02/1987";"1,019671"
"23/02/1987";"1,020055"
"24/02/1987";"1,020164"
"25/02/1987";"0,898110"
"26/02/1987";"0,599973"
"27/02/1987";"0,550000"
"04/03/1987";"0,550000"
"05/03/1987";"0,553781"
"06/03/1987";"0,626658"
"09/03/1987";"0,624986"
"10/03/1987";"0,624986"
"11/03/1987";"0,624082"
"12/03/1987";"0,490055"
"13/03/1987";"0,401699"
"16/03/1987";"0,558219"
"17/03/1987";"0,558575"
"18/03/1987";"0,560082"
"19/03/1987";"0,563315"
"20/03/1987";"0,568603"
"23/03/1987";"0,573726"
"24/03/1987";"0,573699"
"25/03/1987";"0,573699"
"26/03/1987";"0,573699"
"27/03/1987";"0,573726"
"30/03/1987";"0,573726"
"31/03/1987";"0,573726"
"01/04/1987";"0,573699"
"02/04/1987";"0,573671"
"03/04/1987";"0,573616"
"06/04/1987";"0,658027"
"07/04/1987";"0,659370"
"08/04/1987";"0,661096"
"09/04/1987";"0,766356"
"10/04/1987";"0,767890"
"13/04/1987";"0,768877"
"14/04/1987";"0,768904"
"15/04/1987";"0,771808"
"21/04/1987";"0,779288"
"22/04/1987";"0,780658"
"23/04/1987";"0,782247"
"24/04/1987";"0,783315"
"27/04/1987";"0,849781"
"28/04/1987";"0,921233"
"29/04/1987";"0,922082"
"30/04/1987";"0,928493"
"04/05/1987";"0,934932"
"05/05/1987";"0,936630"
"06/05/1987";"0,942110"
"07/05/1987";"1,262329"
"08/05/1987";"1,265945"
"11/05/1987";"1,499644"
"12/05/1987";"1,503918"
